[Mon Jul 29 18:03:48.942074 2024] [proxy_fcgi:error] [pid 420939:tid 140190853052160] [client 100.36.218.120:62110] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/
[Mon Jul 29 18:40:48.108307 2024] [proxy_fcgi:error] [pid 420939:tid 140190895015680] [client 100.36.218.120:50215] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 18:43:41.390504 2024] [proxy_fcgi:error] [pid 420939:tid 140190945371904] [client 100.36.218.120:50348] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 18:50:31.120969 2024] [proxy_fcgi:error] [pid 420939:tid 140190811088640] [client 100.36.218.120:51237] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 18:50:33.848133 2024] [proxy_fcgi:error] [pid 420939:tid 140190869837568] [client 100.36.218.120:51237] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 18:53:40.778935 2024] [proxy_fcgi:error] [pid 420939:tid 140190802695936] [client 100.36.218.120:52016] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:36:39.380123 2024] [proxy_fcgi:error] [pid 421183:tid 140191270782720] [client 100.36.218.120:55335] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:37:13.907422 2024] [proxy_fcgi:error] [pid 430360:tid 140191245604608] [client 100.36.218.120:55342] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:37:43.340144 2024] [proxy_fcgi:error] [pid 420939:tid 140190811088640] [client 100.36.218.120:55341] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:37:44.532279 2024] [proxy_fcgi:error] [pid 420939:tid 140190869837568] [client 100.36.218.120:55341] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:37:45.378092 2024] [proxy_fcgi:error] [pid 420939:tid 140190836266752] [client 100.36.218.120:55341] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:37:46.196424 2024] [proxy_fcgi:error] [pid 420939:tid 140190827874048] [client 100.36.218.120:55341] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:37:53.393467 2024] [proxy_fcgi:error] [pid 421183:tid 140191129913088] [client 100.36.218.120:55400] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:37:56.701833 2024] [proxy_fcgi:error] [pid 421183:tid 140191237211904] [client 100.36.218.120:55400] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 19:38:00.216977 2024] [proxy_fcgi:error] [pid 421183:tid 140191087949568] [client 100.36.218.120:55400] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
[Mon Jul 29 20:13:23.725519 2024] [proxy_fcgi:error] [pid 420939:tid 140191071000320] [client 100.36.218.120:57843] AH01071: Got error 'Primary script unknown\n', referer: http://jethro_project.civil-it.com/index.php
